Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
2294,Yashoda Hospital (A Unit of Datta Chandra Hospital Pvt. Ltd.)  Blood Bank,Telangana,Hyderabad,Secunderabad,225593,8057,1792,597,1347,1342,324,1214,11,1430,4831," 1-1-156/157, 9th Floor, Alexander Road, Secunderabad, Telangana
",269597,7654789258,dr.aparnasharma@yashodamail.com,Charity,YES,24x7
2295,South Central Railway Hospital,Telangana,Hyderabad,Secunderabad,250549,5403,494,1401,1063,626,816,567,196,240,3877,"Lalaguda, Secunderabad",392073,7944460201,,Government,YES,24x7
2296,Andrha Pradesh State Road Transport Corporation Hospital Blood Bank,Telangana,Hyderabad,Secunderabad,54575,9010,1841,1560,105,1786,398,1141,997,1182,4894,"Ground Floor, Room.No. 18&19, APSRTC Hospital Pemises, Tarnaka, Secunderabad",235003,8718883001,,Charity,YES,24x7
2297,Vivekananda Environmental International Society Social Service Blood Bank,Telangana,Hyderabad,Secunderabad,200398,6854,143,1724,1720,1190,40,560,341,1136,1878,"H.No.9-1-127/D/1, Opposite St.Mary&#39;s Church, S.D.Road, Secunderabad",217618,6779114581,vivekanandabloodbank@gmail.com,Private,YES,12x7
2298,Janani Voluntary Blood Bank (A Unit of Janani Organization),Telangana,Hyderabad,Secunderabad,57658,8783,828,1358,1404,948,967,830,789,1659,3499," D.No.9-1-66/3, 2nd Floor, Lane Opposite Oriental Bank, S.D.Road, Secunderabad",449753,9342211803,info@jananivoluntary.org,Government,NO,24x7
2299,Military Hospital Blood Bank,Telangana,Hyderabad,Secunderabad,65329,6554,1280,1778,255,61,193,931,1573,483,2385,"Military Hospital premises Trimulgherry, Secunderabad",348126,8662531562,,Charity,NO,24x7
2300,Krishna Institute of Medical Sciences Blood Bank,Telangana,Hyderabad,Secunderabad,83703,6880,1541,285,422,791,1844,933,207,857,4096,"D.No.1-8-31/1, Block-III, 2nd Floor, Minister Road, Secretariat, Secunderabad
",237393,7866585749,info@kimshopitals.com,Government,NO,24x7
2301,Jeevadhara Voluntary Blood Bank (A Unit of Jeevadhaara Society),Telangana,Hyderabad,Secunderabad,163220,7790,333,171,1069,127,1686,949,1479,1976,4643,"H.No.9-4-269 to 275, Saluja Hospital, Second Floor, Rezimental Bazar, Secunderabad",489858,8532936359,jeevadharabloodbank@gmail.com,Government,YES,24x7
2302,Sunshine Hospital Blood Bank,Telangana,Hyderabad,Secunderabad,110102,10622,1953,1187,1280,849,1790,1479,858,1226,2410,"No.1-7-201- to 205, II Floor, P.G.Road, Behind Paradise  Hotel,  Secunderabad",412827,8938528446,sunshinebloodbank@gmail.com,Government,YES,24x7
2303,Sri Devi Charitable Trust Blood Bank,Telangana,Hyderabad,Secunderabad,26419,6541,1096,476,565,65,315,1128,1915,981,2773,"D. No.: 12-13-197, Flat No. 106 & 107, Opposite HUDA Complex, Tarnaka, Secunderabad",448468,6375994825,nadhu7454@gmail.com,Charity,YES,24x7
2304,Princess Esra Hospital Blood Bank,Telangana,Hyderabad,Shah Ali Banda,56042,6465,1970,1103,1889,611,55,20,802,15,3478,"Second Floor, 23-2-665, Shah Ali Banda",386173,6626053428,kamal273p@gmail.com,Charity,NO,24x7
2305,Asian Institute of Gastroentrology Blood Bank,Telangana,Hyderabad,Somajiguda,117893,10438,562,412,1903,1064,1618,982,1929,1968,1893,"6-3-661, Somajiguda, Hyderabad",389522,8861592567,,Private,YES,12x7
2306,RTC Hospital,Telangana,Hyderabad,Tarnaka,112673,6307,1353,1196,306,98,144,669,1647,894,773,"RTC Hospital Blood Bank, Tarnaka, Hyderabad",427963,6859241561,NA,Government,YES,24x7
2307,Indian Red Cross Society Blood Bank,Telangana,Hyderabad,Vidhyanagar,132154,6984,846,959,1148,1087,1660,152,111,1021,847,"1-9-310, Street No:14, Opposite Achyutha Reddy Complex,  Vidya Nagar Hyderabad
",477980,7043625512,redcross_bloodbank@yahoo.com,Government,NO,24x7
2308,Chalmeda Ananda Rao Institute of Medical Sciences Blood Bank,Telangana,Karimnagar,Bommakal,185133,7007,833,882,1094,562,1132,555,1059,890,204,"Block C, Ground Floor, Bommakal (V), Karimnagar",461315,6539723340,caimsbloodbank@gmail.com,Private,NO,24x7
2309,Singareni Collieries Co.Ltd Blood Bank,Telangana,Karimnagar,Godavarikhani,119454,7100,1764,1153,1613,408,931,112,932,187,2420,"Area Hospital Blood Bank, Ram Mandir, Godavarikhani",259602,6593000335,med_rg1@scclmines.com,Charity,YES,24x7
2310,Nelavelly Blood Bank,Telangana,Karimnagar,Jagtial,185401,6383,1065,745,882,556,1390,754,627,364,2490,"(A Unit Of Nelavelly Laxma Rao Social Service Charitable Trust)
Door No:7-1-236, Santoshnagar, Opposite SKNR Women Degree College",306922,8360899859,nelavelly@gmail.com,Government,YES,24x7
2311,"Indian Red Cross Society Jagityal, Blood Bank",Telangana,Karimnagar,JAGTIAL,10422,6555,1108,1421,351,780,1047,903,278,667,3592,"District Headquarters Hospital JAGTIAL 
First Floor, Old Bus Stand",338037,9496110639,rch2bloodbankahjagtial@gmail.com,Charity,YES,24x7
2312,Government District Head Quarters Hospital Blood Bank,Telangana,Karimnagar,Karimnagar,69316,5458,571,577,754,350,1657,1211,258,80,3693,"Savaran Street, Manchiryal Chowrastha",374712,9905052702,bloodbankdhknr@gmail.com,Private,YES,12x7
2313,Indian Red Cross Society Blood Bank,Telangana,Karimnagar,Karimnagar ,72050,9603,1716,1552,1128,814,1539,1190,612,1052,1365,"D.No.4-1-22, Osmanpura, 
Opp to Andhra Bank Main Branch",362852,6765335616,redcrossknr2007@gmail.com,Government,NO,24x7
2314,Life Care Voluntary Blood Bank,Telangana,Karimnagar,Karimnagar ,249293,8808,645,1381,1929,517,1349,1593,40,1354,3104,"D.No.3-1-446, 1st Floor, Opposite Government Hospital, Prashanth Nagar",240468,7142581181,lifecarebloodbank@gmail.com,Charity,NO,24x7
2315,Prathima Institute of Medical Sciences Blood Bank,Telangana,Karimnagar,Nagnur,56928,8494,530,1346,603,1064,1991,1273,1189,498,4038,"1st Floor, Hospital Building, Nagnur",230074,9079367666,pimsbbknr@gmail.com,Government,NO,24x7
2316,Apollo Reach Hospitals - Apollo Blood Bank,Telangana,Karimnagar,Subhash Nagar,225535,5288,167,53,1495,1750,15,421,744,643,3679,"H.No.4-72, 3rd Floor, Subhash Nagar, 
Near Railway station
",431796,7363672692,apolloreachhospitals.bloodbank@gmail.com,Government,YES,24x7
2317,The Government Area Hospital Blood Bank,Telangana,Khammam,Bhadrachalam,94340,7274,1006,437,270,885,822,985,1581,1288,2417,"Bhadrachalam, Bhadradri Kothagudem",302404,7392421287,bloodbank.bcm@gmail.com,Government,YES,24x7
2318,The APVVP District Head Quarters Hospital Blood Bank,Telangana,Khammam,Khammam,225363,9002,1416,1057,1692,1107,275,1133,479,1843,3110,"1st Floor, Room.No.31, O.P. Block, Wyra Road, Khammam",316213,8862747486,dapcukhammam@gmail.com,Charity,YES,24x7
2319,Rudhira Voluntary Blood Bank,Telangana,Khammam,Khammam,131201,8390,927,1036,987,1492,161,1387,1466,934,3197,"(A Unit of Rudhira Health Organization), H.No.11-4-25/A, 1st & 2nd Floor, Wyra Road, Khammam",339312,9395096936,rudhira.voluntary@gmail.com,Charity,NO,24x7
2320,Mamata General Hospital Blood Bank,Telangana,Khammam,Khammam,157075,8608,1710,581,526,924,1311,23,1683,1850,1688,"D. No: 5-7-200, Giriprasad Nagar Pakabanda Bazar, Khammam",477403,9356467528,,Private,YES,12x7
2321,Siva Multi Speciality Hospital Blood Bank,Telangana,Khammam,Khammam,239102,9057,318,802,731,1961,1506,1684,377,1678,2600,"H.No.11-2-44, Balaji Nagar, Wyra Road, Khammam",397764,8458839628,sivabloodbank@gmail.com,Government,YES,24x7
2322,The Government Area Hospital Blood Bank,Telangana,Khammam,Kothagudem,113829,5274,1143,313,571,1096,193,177,1601,180,3177,"Kothagudem, Khammam",460543,9853164798,dapcukhammam@gmail.com,Government,NO,24x7
2323,The Singareni Collieries  Co. Ltd,Telangana,Khammam,Kothagudem,33309,9923,1937,203,1818,194,1656,1961,1526,628,1519,"Hospital Blood Bank, Main Hospital, Kothagudem, Khammam",288702,6890516853,dapcukhammam@gmail.com,Private,NO,24x7
2324,Sarala Blood Bank ,Telangana,Khammam,Kothagudem,151890,7742,1476,38,1040,1003,1809,1346,266,764,3397,"A Unit of Sarala Memorial Charitable Chartitable Trust, D.No. 5-13-7, 2nd Floor, M.G. Road, Kothagudem, Khammam",420919,7420573042,venkateswarluv03@gmail.com,Charity,YES,24x7
2325,Singareni Collieries Co. Ltd,Telangana,Khammam,Manuguru,256688,6879,709,2,1199,789,1617,786,33,1744,4815,"Blood Bank Medical Officer,  Blood Bank, Singareni Collieries Co. Ltd, Manuguru, Dist. Khammam, Mobile no:9491145024",311886,6566734395,,Government,YES,24x7
2326,Asha Emergency & Chest Hospital Blood Bank,Telangana,Khammam,Sattupally,215771,8140,90,564,1537,1583,1314,342,1078,1632,4741,"D. No.: 4-851/1, Opposite Bus Stand, Kalabharathi Road, Sattupally, Khammam
",270298,6778824734,ashabloodbanksathupalli@gmail.com,Charity,YES,24x7
2327,Singareni Collieries Co. Ltd,Telangana,Khammam,Yellandu,118309,9647,952,1963,1969,932,524,1439,678,1190,4626,"Singareni Collieries Co. Ltd Blood Bank, Yellandu, District Khammam.",309771,8569752849,njyothichandra@gmail.com,Private,YES,12x7
2328,Indian Red Cross Society ,Telangana,Mahbubnagar,Gadwal,177862,7135,722,1426,545,1635,1143,71,868,725,426,"Blood Bank, Area Hospital, Gadwal, Mahaboobnagar",436279,8203361919,ircsrch2bloodbankgadwal@gmail.com,Government,NO,24x7
2329,Government District Head Quarters Hospital Blood Bank,Telangana,Mahbubnagar,Mahaboobnagar,188835,8288,1709,529,899,35,487,1552,1155,1922,1491,"Ground Floor, Mahaboobnagar",237435,8589446166,mbnrbbdh@gmail.com,Charity,NO,24x7
2330,Indian Red Cross Society Blood Bank,Telangana,Mahbubnagar,Mahabubnagar,139091,4286,237,1371,433,451,749,22,69,954,2492,"Ground & First Floor,D.No.1-6-65/5/A,1-6-65/5/A, Modern High School Chourastha",250020,8949785063,redcross.bloodbank@gmail.com,Government,NO,24x7
2331,IRCS & RCH-II  Blood Bank District Hospital Wanaparthy ,Telangana,Mahbubnagar,WANAPARTHY ,168262,10349,921,1633,1939,676,1213,759,1898,1310,2728,"Blood Bank, District Hospital,Wanaparthy, WANAPARTHY",270333,7298269594,ircsbloodbankwanaparthy@gmail.com,Government,YES,24x7
2332,SVS Medical College Hospital Blood Bank,Telangana,Mahbubnagar,Yenugonda,140954,8819,639,1245,1054,1469,1101,1033,693,1585,861,"Blood Bank, Ist Floor, Yenugonda, Mahaboobnagar",336148,9632942311,,Government,YES,24x7
2333,Maheshwara Medical College and Maheshwara Hospital Blood Bank,Telangana,Medak,Patancheru Mandal,241494,10104,1593,94,1351,1239,1744,1710,782,1591,2047,"1st floor, Maheshwara Hospital Building, Isnapur Cross Road, Chitkul Village, Patancheru Mandal, Medak",357477,8729442382,maheshwaramedicalcollege@gmail.com,Charity,YES,24x7
2334,Bharat Heavy Electricals Limited Hospital ,Telangana,Medak,Ramachandrapuram,94507,6665,1820,1311,288,1027,464,711,777,267,2445,"Blood Bank, Ramachandrapuram, Medak",412994,7985553257,nandagopalgollapudi@yahoo.com,Charity,NO,24x7
2335,The APVVP District Head Quarters Hospital,Telangana,Medak,Sangareddy,126680,5792,247,1624,1598,803,708,202,328,282,1623,"Blood Bank, Sangareddy, Medak",232045,8015620582,govtbloodbankdh.sangareddy@gmail.com,Private,YES,12x7
2336,M.N.R. Medical College Hospital,Telangana,Medak,Sangareddy,227464,6597,445,648,503,344,1658,814,1563,622,2128,"Blood Bank, Fasalwadi, Narsapur Road, Sangareddy, Medak",347381,6266509470,,Government,YES,24x7
2337,Indian Red Cross Society,Telangana,Medak,Siddipet,47238,9463,1773,1290,435,1585,1241,1640,741,758,1725,"Blood Bank, Area Hospital Premises, Siddipet,  Medak",205028,6841253848,bbircssdpt@gmail.com,Government,NO,24x7
2338,Government District Head Quarter Hospital Nalgonda,Telangana,Nalgonda,Gollaguda,130493,10245,1935,1084,1948,1047,1547,1254,1171,259,3996,"Blood Bank, District Head Quarters Hospital Premises, 1st Floor, Old Building, Nalgonda",263133,8451569806,nlgbloodbank@gmail.com,Private,NO,24x7
2339,Jyothi Hospital Blood Bank,Telangana,Nalgonda,Miryalaguda,162512,4403,1130,78,817,446,733,193,332,674,4024," Blood Bank, Ground Floor, Near Hanuman Temple, Church Road, Miryalaguda, Nalgonda",346612,8915592758,,Charity,YES,24x7
2340,Indian Red Cross Society,Telangana,Nalgonda,Nalgonda,34838,9208,11,136,1920,864,1389,1788,1735,1365,2062," Blood Bank, D.No. 5-6-300, Red cross Bhavan, Near RTC Bus Stand, Nalgonda",466294,7772704079," chairmanircsnlg@yahoo.in, ",Government,YES,24x7
2341,Kamineni Institute of Medical Sciences Hospital ,Telangana,Nalgonda,Narketpally,99941,8579,1138,417,1947,1294,1632,915,443,793,4053,"Blood Bank, Ground Floor, Sreepuram, Narketpally, Nalgonda",261258,9845576684,,Government,YES,24x7
2342,Lions Club Blood Bank,Telangana,Nalgonda,Suryapet,109663,9415,659,105,1728,1984,1197,1190,969,1583,3224,"Govt Area Hospital, Main Road , Suryapet - Nalgonda Dist  08684-224699",324264,8073106663, bloodbankrchsrpt@gmail.com,Government,NO,12x7
2343,"Indian Red Cross Society ,RCH-II",Telangana,Nalgonda,Suryapet,185818,10096,1217,1432,1316,1157,1263,1603,1624,484,927,"Blood Bank, RCH-II, TVVP Area Hospital, 1st Floor, Suryapet, dist:Suryapet.",397406,8562563890,bloodbankrchsrpt@gmail.com,Private,NO,24x7
2344,Sai Prasad Orthopedic Hospital,Telangana,Nalgonda,Suryapet,174253,6123,770,614,291,295,888,271,1372,1622,2228,"Blood Bank, H.No.1-2-270/45/3, Opposite Vijetha Hotel, Suryapet, Nalgonda",350803,8666498554,sirigiri_sateesh@yahoo.co.in,Charity,YES,24x7
2345,Indian Red Cross Society,Telangana,Nizamabad,Kamareddy,65031,9025,1630,1272,719,1554,1279,676,332,1563,2927,"Blood Bank, Area Hospital, Kamareddy, Nizamabad",203275,7220334561,kdreddy25380@yahoo.com,Government,YES,24x7
2346,V.T.Thakur Memorial Rotary,Telangana,Nizamabad,Kamareddy,225211,6630,230,532,754,1925,1471,930,540,248,897,"Blood Bank, H.No.1-4-31/1, Godown Road, Bathukammakunta, Kamareddy, Nizamabad",380419,7785409766,lionvtrajkumarpnjf@hotmail.com,Charity,YES,24x7
2347,The Government District Headquarters Hospital ,Telangana,Nizamabad,Khaleelwadi,25517,8454,1707,106,989,1357,1743,554,1537,461,4236,"Blood Bank, 7th  Floor, Khaleelwadi, R.P. Road, Nizamabad",219733,7366652335,govtbbnzb@gmail.com,Private,YES,24x7
2348,Indian Red Cross Society,Telangana,Nizamabad,Khaleelwadi,135249,6831,82,644,629,1992,248,727,1096,1413,2901,"Blood Bank, M.R.O. Office, Complex, Khaleelwadi, Nizamabad",365268,7294796769,ircsbloodbank.nzb@gmail.com,Government,NO,24x7
2349,Perali Narasaiah Memorial Charitable Trust ,Telangana,Nizamabad,Khaleelwadi,151834,9668,685,1439,1137,669,1490,1669,1939,640,779,"Blood Bank, H.No.5-7-71, Khaleelwadi, Nizamabad",357577,6973530042,pnmctbbnzb123@outlook.in,Charity,NO,24x7
2350,S.B.Voluntary Blood Bank,Telangana,Nizamabad,Khaleelwadi,152486,9193,1929,1795,748,1239,1307,195,643,1337,1117," H.No.5-6-812, 3rd Floor, Amrutha Laxmi Hospital, Opposite Rajiv Gandhi Auditorium, Khaleelwadi, Nizamabad",407321,7628360164,shakeelsb98@gmail.com,Government,NO,12x7
2351,M.M.Voluntary Blood Bank,Telangana,Rangareddy,Hyderabad,23223,11023,1554,1606,1934,1555,990,779,1541,1064,4988,"4-194, Ferozguda, Balanagar, Hyderabad",298819,7328731788,,Government,YES,24x7
2352,BBR Multispeciality Hospital Blood Bank,Telangana,Rangareddy,Hyderabad,189662,7820,384,57,1939,1631,1406,183,1474,746,1618,"H. No.: 7-4-194, Ferozguda, Near Bank of India, Balanagar, Hyderabad",227011,8378071095,bbrbloodbank@gmail.com,Government,YES,24x7
2353,Janani Voluntary Blood Bank,Telangana,Rangareddy,Hyderabad,191945,7799,877,348,1315,594,693,1961,1715,296,1912,"D.No.125-28-11/1, GPR Complex, KPHB Colony, Kukatpally, Hyderabad",481733,9275715941,cnagareddy31@gmail.com,Charity,YES,24x7
2354,Life Voluntary Blood Bank,Telangana,Rangareddy,Hyderabad,148458,9385,1268,1538,32,993,1404,1834,577,1739,1745,"MIG-323,Above Syndicate Bank,Road no-4, Remedy hospital lane,  First Floor, KPHB Colony, Phase-I, Kukatpally, Ranga Reddy. ",239483,9803168390,lifevoluntarybloodbank@gmail.com,Charity,NO,24x7
2355,Ozone Institute of Medical Sciences Hospital Blood Bank,Telangana,Rangareddy,Hyderabad,143947,5979,243,241,924,495,1038,1769,550,719,4459,"H. No.: 11-13-201/33, Plot No. 23, 25 & 26. Road No. 4, Green Hills Colony, L. B. Nagar, Hyderabad",347581,8421460696,ozonehospitalsbloodbank@gmail.com,Private,YES,24x7
2356,Rajyalakshmi Charitable Trust Blood Bank (A Unit of Rajyalakshmi Charitable Trust),Telangana,Rangareddy,Hyderabad,224118,7656,1537,1288,857,1591,211,1060,531,581,1171,"1st Floor, D.No.18-77/78, Street No.3, Kamala Nagar, Chaitanyapuri, Dilsukhnagar, Hyderabad",229278,8630411195,NA,Government,YES,24x7
2357,Kamineni Hospitals Private Limited Blood Bank,Telangana,Rangareddy,Hyderabad,171395,5380,165,1195,417,57,1463,344,1105,634,1449,"Sy.No. 68, L.B.Nagar, Hyderabad",330711,8094056809,,Government,NO,12x7
2358,Continental Hospital Blood Bank,Telangana,Rangareddy,Hyderabad,90048,7730,23,460,931,880,1308,1576,588,1964,2958,"Plot No. 3, Road No. 2, IT & Financial district, Nanakramguda, Hyderabad",262105,6792680838,bloodbank@continentalhospitals.com,Private,NO,24x7
2359,Asian Blood Bank of Asian Health Foundation,Telangana,Rangareddy,Hyderabad,12490,8130,1093,1776,236,915,1811,140,1280,879,1277,"Plot No.2, 2nd floor, Shanthi Surabhi Complex, Dr.A.S.Rao Nagar X roads,  Hyderabad",298345,9891709236,asian_bloodbank@yahoo.com,Charity,YES,24x7
2360,ADRM Hospital and Blood Bank,Telangana,Rangareddy,Hyderabad,121085,9116,1934,751,1954,1281,563,894,1512,227,3281,"4th Floor, D.No. 9-2, Plot No. 3, Ramanthapur, Hyderabad",460726,7689598489,adrm.h.bloodbank@gmail.com,Government,YES,24x7
2361,Narayana Hrudayalaya Mallareddy Hospital Blood Bank,Telangana,Rangareddy,Hyderabad,190767,5749,882,1375,207,1300,574,305,262,844,4054," # 1-1-216, Suraram &#39;X&#39; Road, Qutbullapur Mandal, Jeedimetla, Hyderabad",466955,6432093153,mallareddyhospital@gmail.com,Charity,YES,24x7
2362,Ram Hospital Blood Bank,Telangana,Rangareddy,Hyderabad,209121,7624,1995,359,459,525,1531,346,1265,1144,623,"2nd Floor,Ram Hospital, D.No.57/A, Shapur Nagar, IDA., Jeedimetla, Hyderabad",493504,9833340915,ramhospitalbloodbank@gmail.com,Private,YES,24x7
2363,Malla Reddy Medical College and Malla Reddy General Hospital Blood Bank,Telangana,Rangareddy,Quthbullapur ,151819,9547,532,42,1548,1603,636,1742,1505,1939,437,"Survey No.138, Suraram Main Roads, Quthbullapur Mandal",330960,7393840611,mallareddyhospital@gmail.com,Government,NO,24x7
2364,Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,Telangana,Rangareddy,Rajendra Nagar Mandal,123549,7290,840,626,1143,655,1077,791,1994,164,318,"Peerancheru, Himayath Sagar Road, Rajendra Nagar Mandal",468857,8522110198,,Charity,NO,24x7
2365,Aware Global Hospital Blood Bank,Telangana,Rangareddy,Ranga Reddy,25227,6394,936,143,493,98,1420,663,820,1821,3163,"Ground Floor(North Block), Room No. 702 to 710, D.No.08-16-01, Sowbhagya Nagar, Sagar Road, Saroor Nagar",281733,6228777297,,Government,NO,12x7
2366,Medicity Institute of Medical Sciences Blood Bank,Telangana,Rangareddy,Ranga Reddy,207650,6110,1083,224,112,474,1548,1159,1102,408,4414,"Hospital Building, Ground Floor, Ghanapur(V), Medchal Mandal",468144,9778020531,bloodbank@mims.edu.in,Government,YES,24x7
2367,Usha Mullapudi Cardiac Centre,Telangana,Rangareddy,Ranga Reddy,63009,9160,1746,925,634,335,1860,1601,1578,481,3300,"Gajularamaramb (v), Quthbullapur Municipality",389590,9489781584,,Government,YES,24x7
2368,Bhaskar Medical College and General Hospital Blood Bank,Telangana,Rangareddy,Ranga Reddy,48718,5737,409,1305,686,54,285,567,1290,1141,3776,"Sy. No.220, 221/2 & 228, Yenkapally Village, Moinabad Mandal",422027,8975208858,,Charity,YES,24x7
2369,Dr. V. R. K. Womens college and general Hospital Blood Bank,Telangana,Rangareddy,Ranga Reddy,18559,7668,1059,293,1503,1013,285,1861,143,1511,265,"Sy.No.176/38, Aziznagar(v), Moinabad Mandal",489760,9169024376,,Charity,NO,24x7
2370,SLMS Hospital Blood Bank,Telangana,Rangareddy,Ranga Reddy,175320,11375,715,1266,1853,1010,1975,1735,985,1836,1352,"Nagole &#39;x&#39; Roads, Ranga Reddy",317550,8288480655,kisarikiran@gmail.com,Private,YES,24x7
2371,Ayaan Institute of Medical Sciences (AIMS),Telangana,Rangareddy,Ranga Reddy,164376,10004,1956,1927,1071,912,615,780,885,1858,1050,"Teaching Hospital & Research Centre, Kanakammadi Village, Moinabad Mandal",461369,6838437547,,Government,YES,24x7
2372,Citizens Hospital Blood Bank,Telangana,Rangareddy,Serilingampally,198911,7864,1703,62,1079,229,825,1285,1705,976,1141,"D.No.1-100/1/CCH, Nallagandla Village, Serilingampally Mandal",277412,7134204287,info@citizenshospitals.com,Government,NO,24x7
